figure_id,chapter,title,path,source_plan,editorial_priority,status,rights_status,accessibility_status,layout_status,reuse_notes
"53.1","53","Controlled Versus Uncontrolled Crystallisation","assets/diagrams/wave-06a/fig-53-1-controlled-vs-uncontrolled-crystallisation.svg","docs/illustration-plans/chapter-53-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"53.10","53","Rework Decision","assets/diagrams/wave-06a/fig-53-10-rework-decision.svg","docs/illustration-plans/chapter-53-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"53.11","53","Plain Versus Flavoured Product Controls","assets/diagrams/wave-06a/fig-53-11-plain-vs-flavoured-controls.svg","docs/illustration-plans/chapter-53-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"54.1","54","Wax Source Streams","assets/diagrams/wave-06a/fig-54-1-wax-source-streams.svg","docs/illustration-plans/chapter-54-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF","WAX_SOURCE_STREAM_MASTER reused identically"
"54.2","54","New Comb Versus Old Brood Comb","assets/diagrams/wave-06a/fig-54-2-new-vs-old-brood-comb.svg","docs/illustration-plans/chapter-54-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF","COMB_AGE_CUTAWAY_MASTER reused identically"
"54.12","54","End-Use Decision","assets/diagrams/wave-06a/fig-54-12-end-use-decision.svg","docs/illustration-plans/chapter-54-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"55.1","55","Wax Production by a Worker Bee","assets/diagrams/wave-06a/fig-55-1-wax-production-worker-bee.svg","docs/illustration-plans/chapter-55-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"55.2","55","Wax Source Streams","assets/diagrams/wave-06a/fig-55-2-wax-source-streams.svg","docs/illustration-plans/chapter-55-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF","WAX_SOURCE_STREAM_MASTER reused identically"
"55.3","55","New Comb Versus Old Brood Comb","assets/diagrams/wave-06a/fig-55-3-new-vs-old-brood-comb.svg","docs/illustration-plans/chapter-55-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF","COMB_AGE_CUTAWAY_MASTER reused identically"
"56.2","56","Pollen in Colony Nutrition","assets/diagrams/wave-06a/fig-56-2-pollen-in-colony-nutrition.svg","docs/illustration-plans/chapter-56-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
