file_name,path,figure_id,chapter,chapter_title,title,status,layout_status
"fig-01-2-what-a-colony-contains.svg","assets/diagrams/wave-02/fig-01-2-what-a-colony-contains.svg","1.2","1","Introduction to Beekeeping","What A Colony Contains","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-01-3-beekeeping-year-at-a-glance.svg","assets/diagrams/wave-02/fig-01-3-beekeeping-year-at-a-glance.svg","1.3","1","Introduction to Beekeeping","Beekeeping Year At A Glance","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-01-4-beginner-decision-path.svg","assets/diagrams/wave-02/fig-01-4-beginner-decision-path.svg","1.4","1","Introduction to Beekeeping","Beginner Decision Path","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-02-1-beekeeping-development-timeline.svg","assets/diagrams/wave-02/fig-02-1-beekeeping-development-timeline.svg","2.1","2","History of Beekeeping","Beekeeping Development Timeline","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-02-3-movable-frame-breakthrough.svg","assets/diagrams/wave-02/fig-02-3-movable-frame-breakthrough.svg","2.3","2","History of Beekeeping","Movable Frame Breakthrough","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-02-4-global-traditions.svg","assets/diagrams/wave-02/fig-02-4-global-traditions.svg","2.4","2","History of Beekeeping","Global Traditions","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-03-2-pollination-network.svg","assets/diagrams/wave-02/fig-03-2-pollination-network.svg","3.2","3","Importance of Honey Bees","Pollination Network","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-03-3-managed-vs-wild-pollinators.svg","assets/diagrams/wave-02/fig-03-3-managed-vs-wild-pollinators.svg","3.3","3","Importance of Honey Bees","Managed vs Wild Pollinators","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-03-4-ecosystem-service-pathway.svg","assets/diagrams/wave-02/fig-03-4-ecosystem-service-pathway.svg","3.4","3","Importance of Honey Bees","Ecosystem Service Pathway","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-04-1-hive-product-overview.svg","assets/diagrams/wave-02/fig-04-1-hive-product-overview.svg","4.1","4","Products of the Hive","Hive Product Overview","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-04-2-product-origin-map.svg","assets/diagrams/wave-02/fig-04-2-product-origin-map.svg","4.2","4","Products of the Hive","Product Origin Map","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-04-4-from-colony-to-market.svg","assets/diagrams/wave-02/fig-04-4-from-colony-to-market.svg","4.4","4","Products of the Hive","From Colony To Market","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-05-2-evidence-based-decision-loop.svg","assets/diagrams/wave-02/fig-05-2-evidence-based-decision-loop.svg","5.2","5","Modern Beekeeping","Evidence Based Decision Loop","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-05-3-traditional-vs-precision-tools.svg","assets/diagrams/wave-02/fig-05-3-traditional-vs-precision-tools.svg","5.3","5","Modern Beekeeping","Traditional vs Precision Tools","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-05-4-modern-risk-landscape.svg","assets/diagrams/wave-02/fig-05-4-modern-risk-landscape.svg","5.4","5","Modern Beekeeping","Modern Risk Landscape","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-06-1-external-worker-anatomy.svg","assets/diagrams/wave-02/fig-06-1-external-worker-anatomy.svg","6.1","6","Bee Anatomy","External Worker Anatomy","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-06-4-internal-systems.svg","assets/diagrams/wave-02/fig-06-4-internal-systems.svg","6.4","6","Bee Anatomy","Internal Systems","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-06-5-caste-anatomy-comparison.svg","assets/diagrams/wave-02/fig-06-5-caste-anatomy-comparison.svg","6.5","6","Bee Anatomy","Caste Anatomy Comparison","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-07-1-complete-development-cycle.svg","assets/diagrams/wave-02/fig-07-1-complete-development-cycle.svg","7.1","7","Honey Bee Life Cycle","Complete Development Cycle","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-07-2-larval-growth-feeding.svg","assets/diagrams/wave-02/fig-07-2-larval-growth-feeding.svg","7.2","7","Honey Bee Life Cycle","Larval Growth Feeding","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-07-4-caste-development-comparison.svg","assets/diagrams/wave-02/fig-07-4-caste-development-comparison.svg","7.4","7","Honey Bee Life Cycle","Caste Development Comparison","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-08-1-queen-anatomy-identification.svg","assets/diagrams/wave-02/fig-08-1-queen-anatomy-identification.svg","8.1","8","The Queen","Queen Anatomy Identification","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-08-2-queen-reproductive-system.svg","assets/diagrams/wave-02/fig-08-2-queen-reproductive-system.svg","8.2","8","The Queen","Queen Reproductive System","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-08-3-mating-sperm-storage.svg","assets/diagrams/wave-02/fig-08-3-mating-sperm-storage.svg","8.3","8","The Queen","Mating Sperm Storage","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-09-1-worker-task-progression.svg","assets/diagrams/wave-02/fig-09-1-worker-task-progression.svg","9.1","9","Worker Bees","Worker Task Progression","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-09-2-worker-specialised-structures.svg","assets/diagrams/wave-02/fig-09-2-worker-specialised-structures.svg","9.2","9","Worker Bees","Worker Specialised Structures","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-09-3-forager-resource-types.svg","assets/diagrams/wave-02/fig-09-3-forager-resource-types.svg","9.3","9","Worker Bees","Forager Resource Types","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-10-1-drone-identification.svg","assets/diagrams/wave-02/fig-10-1-drone-identification.svg","10.1","10","Drones","Drone Identification","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-10-2-drone-development.svg","assets/diagrams/wave-02/fig-10-2-drone-development.svg","10.2","10","Drones","Drone Development","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-10-3-drone-reproductive-anatomy.svg","assets/diagrams/wave-02/fig-10-3-drone-reproductive-anatomy.svg","10.3","10","Drones","Drone Reproductive Anatomy","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-11-2-distance-dance-tempo.svg","assets/diagrams/wave-02/fig-11-2-distance-dance-tempo.svg","11.2","11","Communication Inside the Colony","Distance Dance Tempo","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-11-4-alarm-recruitment-signals.svg","assets/diagrams/wave-02/fig-11-4-alarm-recruitment-signals.svg","11.4","11","Communication Inside the Colony","Alarm Recruitment Signals","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-11-5-swarm-nest-site-communication.svg","assets/diagrams/wave-02/fig-11-5-swarm-nest-site-communication.svg","11.5","11","Communication Inside the Colony","Swarm Nest Site Communication","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-12-2-orientation-vs-robbing.svg","assets/diagrams/wave-02/fig-12-2-orientation-vs-robbing.svg","12.2","12","Bee Behaviour","Orientation vs Robbing","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-12-4-grooming-hygienic-behaviour.svg","assets/diagrams/wave-02/fig-12-4-grooming-hygienic-behaviour.svg","12.4","12","Bee Behaviour","Grooming Hygienic Behaviour","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
"fig-12-5-clustering-thermoregulation.svg","assets/diagrams/wave-02/fig-12-5-clustering-thermoregulation.svg","12.5","12","Bee Behaviour","Clustering Thermoregulation","ACTUAL_VECTOR_CREATED","PENDING_FINAL_LAYOUT_PROOF"
