file_name,path,figure_id,chapter,title,category,theme,status,color_pass,high_fidelity_required,notes
fig-21-1-protective-clothing-system.svg,assets/diagrams/wave-01/fig-21-1-protective-clothing-system.svg,21.1,21,Figure 21.1 — Protective Clothing System,Safety,safety,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-21-2-veil-clearance.svg,assets/diagrams/wave-01/fig-21-2-veil-clearance.svg,21.2,21,Figure 21.2 — Veil Clearance,Safety,safety,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-21-3-clothing-selection-by-task.svg,assets/diagrams/wave-01/fig-21-3-clothing-selection-by-task.svg,21.3,21,Figure 21.3 — Clothing Selection by Task,Safety,safety,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-21-4-pre-inspection-ppe-check.svg,assets/diagrams/wave-01/fig-21-4-pre-inspection-ppe-check.svg,21.4,21,Figure 21.4 — Pre-Inspection PPE Check,Safety,safety,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-22-1-smoker-anatomy.svg,assets/diagrams/wave-01/fig-22-1-smoker-anatomy.svg,22.1,22,Figure 22.1 — Smoker Anatomy,Safety,safety,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-22-3-smoker-fuels.svg,assets/diagrams/wave-01/fig-22-3-smoker-fuels.svg,22.3,22,Figure 22.3 — Suitable Versus Unsuitable Smoker Fuels,Safety,safety,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-22-4-smoker-lighting-sequence.svg,assets/diagrams/wave-01/fig-22-4-smoker-lighting-sequence.svg,22.4,22,Figure 22.4 — Smoker-Lighting Sequence,Safety,safety,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-22-6-hot-smoker-fire-safety-zone.svg,assets/diagrams/wave-01/fig-22-6-hot-smoker-fire-safety-zone.svg,22.6,22,Figure 22.6 — Hot-Smoker and Fire-Safety Zone,Safety,safety,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-23-1-apiary-hazard-map.svg,assets/diagrams/wave-01/fig-23-1-apiary-hazard-map.svg,23.1,23,Figure 23.1 — Apiary Hazard Map,Safety,safety,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-23-10-smoker-vegetation-fire-safety.svg,assets/diagrams/wave-01/fig-23-10-smoker-vegetation-fire-safety.svg,23.10,23,Figure 23.10 — Smoker and Vegetation-Fire Safety,Safety,safety,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-23-11-treatment-ppe-label-discipline.svg,assets/diagrams/wave-01/fig-23-11-treatment-ppe-label-discipline.svg,23.11,23,Figure 23.11 — Chemical-Treatment PPE and Label Discipline,Safety,safety,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-23-2-risk-assessment-sequence.svg,assets/diagrams/wave-01/fig-23-2-risk-assessment-sequence.svg,23.2,23,Figure 23.2 — Simple Risk-Assessment Sequence,Safety,safety,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-23-3-hierarchy-of-controls.svg,assets/diagrams/wave-01/fig-23-3-hierarchy-of-controls.svg,23.3,23,Figure 23.3 — Hierarchy of Controls for Beekeeping,Safety,safety,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-23-6-local-vs-emergency-sting-signs.svg,assets/diagrams/wave-01/fig-23-6-local-vs-emergency-sting-signs.svg,23.6,23,Figure 23.6 — Local Reaction Versus Emergency Warning Signs,Safety,safety,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-23-9-heat-cold-dehydration-prevention.svg,assets/diagrams/wave-01/fig-23-9-heat-cold-dehydration-prevention.svg,23.9,23,"Figure 23.9 — Heat, Cold and Dehydration Prevention",Safety,safety,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-24-1-starting-units-compared.svg,assets/diagrams/wave-01/fig-24-1-starting-units-compared.svg,24.1,24,Figure 24.1 — Starting Units Compared,Hive Installation,operations,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-24-10-early-success-warning-signs.svg,assets/diagrams/wave-01/fig-24-10-early-success-warning-signs.svg,24.10,24,Figure 24.10 — Early Success and Warning Signs,Hive Installation,operations,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-24-11-new-colony-biosecurity.svg,assets/diagrams/wave-01/fig-24-11-new-colony-biosecurity.svg,24.11,24,Figure 24.11 — New-Colony Biosecurity,Hive Installation,operations,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-24-2-prepared-receiving-hive.svg,assets/diagrams/wave-01/fig-24-2-prepared-receiving-hive.svg,24.2,24,Figure 24.2 — Prepared Receiving Hive,Hive Installation,operations,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-24-7-swarm-installation.svg,assets/diagrams/wave-01/fig-24-7-swarm-installation.svg,24.7,24,Figure 24.7 — Swarm Installation,Hive Installation,operations,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-24-9-first-inspection-decision-timeline.svg,assets/diagrams/wave-01/fig-24-9-first-inspection-decision-timeline.svg,24.9,24,Figure 24.9 — First-Inspection Decision Timeline,Hive Installation,operations,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-25-1-inspection-depth-ladder.svg,assets/diagrams/wave-01/fig-25-1-inspection-depth-ladder.svg,25.1,25,Figure 25.1 — Inspection Depth Ladder,Hive Inspection,operations,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-25-11-swarm-preparation-evidence.svg,assets/diagrams/wave-01/fig-25-11-swarm-preparation-evidence.svg,25.11,25,Figure 25.11 — Swarm-Preparation Evidence,Hive Inspection,operations,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
fig-25-13-inspection-record-follow-up-loop.svg,assets/diagrams/wave-01/fig-25-13-inspection-record-follow-up-loop.svg,25.13,25,Figure 25.13 — Inspection Record and Follow-Up Loop,Hive Inspection,operations,ACTUAL_VECTOR_PRESENT,SEMANTIC_COLOR_V1,No,Final layout/greyscale proof still required.
