figure_id,chapter,title,path,source_plan,editorial_priority,status,rights_status,accessibility_status,layout_status,reuse_notes
"26.1","26","Natural and Supplemental Nutrition","assets/diagrams/wave-03/fig-26-1-natural-and-supplemental-nutrition.svg","docs/illustration-plans/chapter-26-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"26.6","26","Brood Nest Before and After Overfeeding","assets/diagrams/wave-03/fig-26-6-brood-nest-before-after-overfeeding.svg","docs/illustration-plans/chapter-26-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF","HEALTHY_BROOD_REFERENCE conventions reused"
"26.7","26","Feeding Decision Flow","assets/diagrams/wave-03/fig-26-7-feeding-decision-flow.svg","docs/illustration-plans/chapter-26-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"27.7","27","Condensation and Moisture","assets/diagrams/wave-03/fig-27-7-condensation-and-moisture.svg","docs/illustration-plans/chapter-27-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"27.10","27","Autumn Preparation Timeline","assets/diagrams/wave-03/fig-27-10-autumn-preparation-timeline.svg","docs/illustration-plans/chapter-27-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"27.12","27","Winter Feeding Decision Chart","assets/diagrams/wave-03/fig-27-12-winter-feeding-decision-chart.svg","docs/illustration-plans/chapter-27-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"28.1","28","Natural Swarm Cycle","assets/diagrams/wave-03/fig-28-1-natural-swarm-cycle.svg","docs/illustration-plans/chapter-28-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"28.3","28","Brood-Nest Restriction","assets/diagrams/wave-03/fig-28-3-brood-nest-restriction.svg","docs/illustration-plans/chapter-28-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF","HEALTHY_BROOD_REFERENCE conventions reused"
"28.5","28","Queen-Cell Types","assets/diagrams/wave-03/fig-28-5-queen-cell-types.svg","docs/illustration-plans/chapter-28-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF","Shared queen-cell conventions reused"
"29.1","29","Swarm Reproductive Sequence","assets/diagrams/wave-03/fig-29-1-swarm-reproductive-sequence.svg","docs/illustration-plans/chapter-29-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"29.10","29","Installing the Swarm","assets/diagrams/wave-03/fig-29-10-installing-the-swarm.svg","docs/illustration-plans/chapter-29-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"29.15","29","First Inspection","assets/diagrams/wave-03/fig-29-15-first-inspection.svg","docs/illustration-plans/chapter-29-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"30.1","30","Resources Required for a Split","assets/diagrams/wave-03/fig-30-1-resources-required-for-a-split.svg","docs/illustration-plans/chapter-30-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"30.2","30","Donor Colony Assessment","assets/diagrams/wave-03/fig-30-2-donor-colony-assessment.svg","docs/illustration-plans/chapter-30-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF","HEALTHY_BROOD_REFERENCE conventions reused"
"30.14","30","Failed Split Decision","assets/diagrams/wave-03/fig-30-14-failed-split-decision.svg","docs/illustration-plans/chapter-30-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"31.2","31","Queen Failure Versus Other Problems","assets/diagrams/wave-03/fig-31-2-queen-failure-vs-other-problems.svg","docs/illustration-plans/chapter-31-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF","HEALTHY_BROOD_REFERENCE conventions reused"
"31.5","31","Finding and Removing the Old Queen","assets/diagrams/wave-03/fig-31-5-finding-removing-old-queen.svg","docs/illustration-plans/chapter-31-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"31.11","31","Queen Development and Status Decision","assets/diagrams/wave-03/fig-31-11-queen-development-status-decision.svg","docs/illustration-plans/chapter-31-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF","Shared queen-cell conventions reused"
"32.3","32","Breeder-Colony Selection","assets/diagrams/wave-03/fig-32-3-breeder-colony-selection.svg","docs/illustration-plans/chapter-32-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"32.10","32","Queen-Cell Protection","assets/diagrams/wave-03/fig-32-10-queen-cell-protection.svg","docs/illustration-plans/chapter-32-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF","Shared queen-cell conventions reused"
"32.11","32","Mating Nucleus","assets/diagrams/wave-03/fig-32-11-mating-nucleus.svg","docs/illustration-plans/chapter-32-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF","Shared queen-cell conventions reused"
