production_order,asset_id,figure_id,chapter,chapter_title,working_title,visual_type,reuse_family,recommended_print_size,production_status,source_plan
1,F21.01,21.1,21,Protective Clothing,Protective Clothing System,scientific_illustration,,single-or-double-column,READY_FOR_ASSET_CREATION,docs/illustration-plans/chapter-21-illustration-plan.md
2,F21.02,21.2,21,Protective Clothing,Veil Clearance,comparison,,double-column,READY_FOR_ASSET_CREATION,docs/illustration-plans/chapter-21-illustration-plan.md
3,F21.03,21.3,21,Protective Clothing,Clothing Selection by Task,scientific_illustration,,single-or-double-column,READY_FOR_ASSET_CREATION,docs/illustration-plans/chapter-21-illustration-plan.md
4,F21.04,21.4,21,Protective Clothing,Pre-Inspection PPE Check,scientific_illustration,,single-or-double-column,READY_FOR_ASSET_CREATION,docs/illustration-plans/chapter-21-illustration-plan.md
5,F22.01,22.1,22,Smokers and Hive Tools,Smoker Anatomy,anatomical,,double-column,READY_FOR_ASSET_CREATION,docs/illustration-plans/chapter-22-illustration-plan.md
6,F22.03,22.3,22,Smokers and Hive Tools,Suitable Versus Unsuitable Smoker Fuels,comparison,,double-column,READY_FOR_ASSET_CREATION,docs/illustration-plans/chapter-22-illustration-plan.md
7,F22.04,22.4,22,Smokers and Hive Tools,Smoker-Lighting Sequence,process,,single-or-double-column,READY_FOR_ASSET_CREATION,docs/illustration-plans/chapter-22-illustration-plan.md
8,F22.06,22.6,22,Smokers and Hive Tools,Hot-Smoker and Fire-Safety Zone,process,,single-or-double-column,READY_FOR_ASSET_CREATION,docs/illustration-plans/chapter-22-illustration-plan.md
9,F23.01,23.1,23,Beekeeping Safety and First Aid,Apiary Hazard Map,map_landscape,,double-column-or-full-page,READY_FOR_ASSET_CREATION,docs/illustration-plans/chapter-23-illustration-plan.md
10,F23.06,23.6,23,Beekeeping Safety and First Aid,Local Reaction Versus Emergency Warning Signs,comparison,,double-column,READY_FOR_ASSET_CREATION,docs/illustration-plans/chapter-23-illustration-plan.md
11,F23.09,23.9,23,Beekeeping Safety and First Aid,"Heat, Cold and Dehydration Prevention",decision_flow,,double-column-or-full-page,READY_FOR_ASSET_CREATION,docs/illustration-plans/chapter-23-illustration-plan.md
