asset_id,figure_id,chapter,chapter_title,part,working_title,visual_type,production_status,rights_status,accuracy_status,recommended_print_size,source_plan
F01.01,1.1,1,Introduction to Beekeeping,I — Foundations,The Managed Honey Bee System,map_landscape,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column-or-full-page,docs/illustration-plans/chapter-01-illustration-plan.md
F01.02,1.2,1,Introduction to Beekeeping,I — Foundations,What a Colony Contains,technical_cutaway,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-01-illustration-plan.md
F01.03,1.3,1,Introduction to Beekeeping,I — Foundations,The Beekeeping Year at a Glance,process,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-01-illustration-plan.md
F01.04,1.4,1,Introduction to Beekeeping,I — Foundations,Beginner Decision Path,decision_flow,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column-or-full-page,docs/illustration-plans/chapter-01-illustration-plan.md
F02.01,2.1,2,History of Beekeeping,I — Foundations,Timeline of Beekeeping Development,timeline,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column-or-full-page,docs/illustration-plans/chapter-02-illustration-plan.md
F02.02,2.2,2,History of Beekeeping,I — Foundations,Historical Hive Forms,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-02-illustration-plan.md
F02.03,2.3,2,History of Beekeeping,I — Foundations,Movable-Frame Breakthrough,comparison,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-02-illustration-plan.md
F02.04,2.4,2,History of Beekeeping,I — Foundations,Global Traditions,map_landscape,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column-or-full-page,docs/illustration-plans/chapter-02-illustration-plan.md
F03.01,3.1,3,Importance of Honey Bees,I — Foundations,Honey Bee Contributions,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-03-illustration-plan.md
F03.02,3.2,3,Importance of Honey Bees,I — Foundations,Pollination Is a Network,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-03-illustration-plan.md
F03.03,3.3,3,Importance of Honey Bees,I — Foundations,Managed Bees Versus Wild Pollinator Conservation,comparison,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column,docs/illustration-plans/chapter-03-illustration-plan.md
F03.04,3.4,3,Importance of Honey Bees,I — Foundations,Ecosystem-Service Pathway,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-03-illustration-plan.md
F04.01,4.1,4,Products of the Hive,I — Foundations,Hive-Product Overview,scientific_illustration,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,single-or-double-column,docs/illustration-plans/chapter-04-illustration-plan.md
F04.02,4.2,4,Products of the Hive,I — Foundations,Product Origin Map Inside the Hive,map_landscape,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column-or-full-page,docs/illustration-plans/chapter-04-illustration-plan.md
F04.03,4.3,4,Products of the Hive,I — Foundations,Product Risk Profiles,chart_data,BRIEF_READY,TO_BE_CREATED_OR_COMMISSIONED,PENDING_ASSET_REVIEW,double-column-or-full-page,docs/illustration-plans/chapter-04-illustration-plan.md
