asset_id,figure_id,chapter,chapter_title,working_title,visual_type,priority_score,editorial_priority,selection_status,reuse_family,source_plan
F01.01,1.1,1,Introduction to Beekeeping,The Managed Honey Bee System,map_landscape,3,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-01-illustration-plan.md
F01.02,1.2,1,Introduction to Beekeeping,What a Colony Contains,technical_cutaway,10,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-01-illustration-plan.md
F01.03,1.3,1,Introduction to Beekeeping,The Beekeeping Year at a Glance,process,6,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-01-illustration-plan.md
F01.04,1.4,1,Introduction to Beekeeping,Beginner Decision Path,decision_flow,5,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-01-illustration-plan.md
F02.01,2.1,2,History of Beekeeping,Timeline of Beekeeping Development,timeline,5,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-02-illustration-plan.md
F02.02,2.2,2,History of Beekeeping,Historical Hive Forms,scientific_illustration,2,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-02-illustration-plan.md
F02.03,2.3,2,History of Beekeeping,Movable-Frame Breakthrough,comparison,4,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-02-illustration-plan.md
F02.04,2.4,2,History of Beekeeping,Global Traditions,map_landscape,3,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-02-illustration-plan.md
F03.01,3.1,3,Importance of Honey Bees,Honey Bee Contributions,scientific_illustration,2,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-03-illustration-plan.md
F03.02,3.2,3,Importance of Honey Bees,Pollination Is a Network,scientific_illustration,4,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-03-illustration-plan.md
F03.03,3.3,3,Importance of Honey Bees,Managed Bees Versus Wild Pollinator Conservation,comparison,6,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-03-illustration-plan.md
F03.04,3.4,3,Importance of Honey Bees,Ecosystem-Service Pathway,scientific_illustration,4,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-03-illustration-plan.md
F04.01,4.1,4,Products of the Hive,Hive-Product Overview,scientific_illustration,10,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-04-illustration-plan.md
F04.02,4.2,4,Products of the Hive,Product Origin Map Inside the Hive,map_landscape,11,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-04-illustration-plan.md
F04.03,4.3,4,Products of the Hive,Product Risk Profiles,chart_data,3,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,HONEY_QUALITY_FAMILY,docs/illustration-plans/chapter-04-illustration-plan.md
F04.04,4.4,4,Products of the Hive,From Colony to Market,scientific_illustration,4,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-04-illustration-plan.md
F05.01,5.1,5,Modern Beekeeping,Modern Beekeeping System,scientific_illustration,4,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-05-illustration-plan.md
F05.02,5.2,5,Modern Beekeeping,Evidence-Based Decision Loop,decision_flow,7,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-05-illustration-plan.md
F05.03,5.3,5,Modern Beekeeping,Traditional Tools and Precision Tools,scientific_illustration,6,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-05-illustration-plan.md
F05.04,5.4,5,Modern Beekeeping,Modern Risk Landscape,map_landscape,7,A_CORE,SELECT_FOR_FINAL_LAYOUT,,docs/illustration-plans/chapter-05-illustration-plan.md
F06.01,6.1,6,Bee Anatomy,External Worker Anatomy,anatomical,8,A_CORE,SELECT_FOR_FINAL_LAYOUT,BEE_CASTE_ANATOMY,docs/illustration-plans/chapter-06-illustration-plan.md
F06.02,6.2,6,Bee Anatomy,Head and Mouthparts,scientific_illustration,3,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-06-illustration-plan.md
F06.03,6.3,6,Bee Anatomy,Leg Specialisations,scientific_illustration,5,B_SUPPORTING,SELECT_IF_LAYOUT_ALLOWS,,docs/illustration-plans/chapter-06-illustration-plan.md
