production_order,asset_id,figure_id,chapter,chapter_title,working_title,visual_type,recommended_medium,source_plan,asset_status
19,F25.07,25.7,25,Routine Hive Inspections,Brood Pattern Interpretation,comparison,HIGH_FIDELITY_ORIGINAL_TECHNICAL_ILLUSTRATION,docs/illustration-plans/chapter-25-illustration-plan.md,BRIEF_READY_HIGH_FIDELITY_ASSET_NOT_YET_CREATED
30,F39.02,39.2,39,Diseases,Healthy Brood Reference,comparison,AUTHENTIC_RIGHTS_CLEARED_PHOTO_OR_TECHNICAL_COMPARISON_PLATE,docs/illustration-plans/chapter-39-illustration-plan.md,BRIEF_READY_HIGH_FIDELITY_ASSET_NOT_YET_CREATED
31,F39.03,39.3,39,Diseases,Patchy Brood Has Multiple Causes,scientific_illustration,HIGH_FIDELITY_ORIGINAL_TECHNICAL_ILLUSTRATION,docs/illustration-plans/chapter-39-illustration-plan.md,BRIEF_READY_HIGH_FIDELITY_ASSET_NOT_YET_CREATED
32,F39.04,39.4,39,Diseases,American Foulbrood Suspicion Features,scientific_illustration,HIGH_FIDELITY_ORIGINAL_TECHNICAL_ILLUSTRATION,docs/illustration-plans/chapter-39-illustration-plan.md,BRIEF_READY_HIGH_FIDELITY_ASSET_NOT_YET_CREATED
34,F40.03,40.3,40,Parasites,Varroa Reproductive Cycle,life_cycle,HIGH_FIDELITY_ORIGINAL_TECHNICAL_ILLUSTRATION,docs/illustration-plans/chapter-40-illustration-plan.md,BRIEF_READY_HIGH_FIDELITY_ASSET_NOT_YET_CREATED
35,F40.04,40.4,40,Parasites,Varroa on Adult Bees,anatomical,AUTHENTIC_RIGHTS_CLEARED_PHOTO_OR_TECHNICAL_COMPARISON_PLATE,docs/illustration-plans/chapter-40-illustration-plan.md,BRIEF_READY_HIGH_FIDELITY_ASSET_NOT_YET_CREATED
36,F40.07,40.7,40,Parasites,Varroa and Tropilaelaps Comparison,comparison,HIGH_FIDELITY_TECHNICAL_ILLUSTRATION_OR_PHOTO,docs/illustration-plans/chapter-40-illustration-plan.md,BRIEF_READY_HIGH_FIDELITY_ASSET_NOT_YET_CREATED
37,F40.08,40.8,40,Parasites,Tropilaelaps Life Cycle and Brood Dependence,life_cycle,HIGH_FIDELITY_ORIGINAL_TECHNICAL_ILLUSTRATION,docs/illustration-plans/chapter-40-illustration-plan.md,BRIEF_READY_HIGH_FIDELITY_ASSET_NOT_YET_CREATED
39,F41.01,41.1,41,Varroa Destructor,Varroa Life Cycle in Worker Brood,life_cycle,HIGH_FIDELITY_ORIGINAL_TECHNICAL_ILLUSTRATION,docs/illustration-plans/chapter-41-illustration-plan.md,BRIEF_READY_HIGH_FIDELITY_ASSET_NOT_YET_CREATED
40,F41.03,41.3,41,Varroa Destructor,Adult-Bee Feeding Site,anatomical,HIGH_FIDELITY_ORIGINAL_TECHNICAL_ILLUSTRATION,docs/illustration-plans/chapter-41-illustration-plan.md,BRIEF_READY_HIGH_FIDELITY_ASSET_NOT_YET_CREATED
43,F41.10,41.10,41,Varroa Destructor,Varroa Control Categories,chart_data,HIGH_FIDELITY_TECHNICAL_ILLUSTRATION_OR_PHOTO,docs/illustration-plans/chapter-41-illustration-plan.md,BRIEF_READY_HIGH_FIDELITY_ASSET_NOT_YET_CREATED
44,F42.01,42.1,42,Nosema,Nosema Life Cycle in an Adult Bee,life_cycle,HIGH_FIDELITY_ORIGINAL_TECHNICAL_ILLUSTRATION,docs/illustration-plans/chapter-42-illustration-plan.md,BRIEF_READY_HIGH_FIDELITY_ASSET_NOT_YET_CREATED
45,F42.03,42.3,42,Nosema,Healthy Versus Heavily Affected Midgut Concept,comparison,HIGH_FIDELITY_ORIGINAL_TECHNICAL_ILLUSTRATION,docs/illustration-plans/chapter-42-illustration-plan.md,BRIEF_READY_HIGH_FIDELITY_ASSET_NOT_YET_CREATED
49,F43.02,43.2,43,American Foulbrood,Healthy Brood Versus Early AFB Suspicion,comparison,HIGH_FIDELITY_ORIGINAL_TECHNICAL_ILLUSTRATION,docs/illustration-plans/chapter-43-illustration-plan.md,BRIEF_READY_HIGH_FIDELITY_ASSET_NOT_YET_CREATED
50,F43.03,43.3,43,American Foulbrood,Disease-Stage Cell Series,technical_cutaway,AUTHENTIC_RIGHTS_CLEARED_PHOTO_OR_TECHNICAL_COMPARISON_PLATE,docs/illustration-plans/chapter-43-illustration-plan.md,BRIEF_READY_HIGH_FIDELITY_ASSET_NOT_YET_CREATED
54,F44.02,44.2,44,European Foulbrood,Healthy Versus EFB-Affected Open Brood,comparison,AUTHENTIC_RIGHTS_CLEARED_PHOTO_OR_TECHNICAL_COMPARISON_PLATE,docs/illustration-plans/chapter-44-illustration-plan.md,BRIEF_READY_HIGH_FIDELITY_ASSET_NOT_YET_CREATED
61,F45.03,45.3,45,Viruses,Varroa–DWV Interaction,technical_cutaway,HIGH_FIDELITY_ORIGINAL_TECHNICAL_ILLUSTRATION,docs/illustration-plans/chapter-45-illustration-plan.md,BRIEF_READY_HIGH_FIDELITY_ASSET_NOT_YET_CREATED
66,F46.06,46.6,46,Integrated Pest Management,Drone-Brood Removal Sequence,process,HIGH_FIDELITY_ORIGINAL_TECHNICAL_ILLUSTRATION,docs/illustration-plans/chapter-46-illustration-plan.md,BRIEF_READY_HIGH_FIDELITY_ASSET_NOT_YET_CREATED
